city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Parnaguá,2207603,327,3022.46049,2022-03-25,0.0306,10,10819.0,10791.0,False,671,city,PI
Parnaíba,2207702,19497,12703.11828,2022-03-25,0.0247,482,153482.0,153078.0,False,724,city,PI
Passagem Franca do Piauí,2207751,258,5968.07772,2022-03-25,0.0426,11,4323.0,4313.0,False,673,city,PI
Patos do Piauí,2207777,453,7071.49547,2022-03-25,0.0265,12,6406.0,6392.0,False,651,city,PI
Pau D'Arco do Piauí,2207793,458,11266.91267,2022-03-25,0.0109,5,4065.0,4045.0,False,677,city,PI
Paulistana,2207801,1308,6363.72482,2022-03-25,0.0138,18,20554.0,20523.0,False,672,city,PI
Pavussu,2207850,502,13682.20223,2022-03-25,0.0299,15,3669.0,3677.0,False,676,city,PI
Pedro II,2207900,5046,13012.53288,2022-03-25,0.0228,115,38778.0,38742.0,False,702,city,PI
Pedro Laurentino,2207934,80,3144.65409,2022-03-25,0.025,2,2544.0,2536.0,False,671,city,PI
Picos,2208007,11629,14827.04543,2022-03-25,0.0157,182,78431.0,78222.0,False,706,city,PI
Pimenteiras,2208106,1332,10972.89727,2022-03-25,0.0233,31,12139.0,12127.0,False,708,city,PI
Pio IX,2208205,1708,9252.93895,2022-03-25,0.0135,23,18459.0,18425.0,False,694,city,PI
Piracuruca,2208304,3021,10462.70001,2022-03-25,0.0351,106,28874.0,28791.0,False,715,city,PI
Piripiri,2208403,13766,21581.19993,2022-03-25,0.0152,209,63787.0,63742.0,False,696,city,PI
Porto,2208502,553,4386.10406,2022-03-25,0.0271,15,12608.0,12568.0,False,688,city,PI
Porto Alegre do Piauí,2208551,186,6838.23529,2022-03-25,0.0215,4,2720.0,2710.0,False,619,city,PI
Prata do Piauí,2208601,265,8412.69841,2022-03-25,0.0189,5,3150.0,3151.0,False,651,city,PI
Queimada Nova,2208650,750,8317.62227,2022-03-25,0.008,6,9017.0,8992.0,False,693,city,PI
Redenção do Gurguéia,2208700,890,10118.23556,2022-03-25,0.0236,21,8796.0,8778.0,False,683,city,PI
Regeneração,2208809,1071,5956.94977,2022-03-25,0.0243,26,17979.0,17978.0,False,688,city,PI
Riacho Frio,2208858,138,3202.59921,2022-03-25,0.0362,5,4309.0,4312.0,False,604,city,PI
Ribeira do Piauí,2208874,46,1024.95544,2022-03-25,0.1522,7,4488.0,4477.0,False,703,city,PI
Ribeiro Gonçalves,2208908,968,13123.64425,2022-03-25,0.0165,16,7376.0,7341.0,False,678,city,PI
Rio Grande do Piauí,2209005,484,7523.70589,2022-03-25,0.0186,9,6433.0,6432.0,False,696,city,PI
Santa Cruz do Piauí,2209104,877,14038.73859,2022-03-25,0.0171,15,6247.0,6240.0,False,671,city,PI
Santa Cruz dos Milagres,2209153,289,7165.88148,2022-03-25,0.0069,2,4033.0,4019.0,False,630,city,PI
Santa Filomena,2209203,148,2366.48545,2022-03-25,0.027,4,6254.0,6253.0,False,663,city,PI
Santa Luz,2209302,260,4420.26522,2022-03-25,0.0308,8,5882.0,5860.0,False,685,city,PI
Santana do Piauí,2209351,285,6139.595,2022-03-25,0.0246,7,4642.0,4634.0,False,664,city,PI
Santa Rosa do Piauí,2209377,193,3672.69267,2022-03-25,0.0311,6,5255.0,5257.0,False,641,city,PI
Santo Antônio de Lisboa,2209401,125,1940.69244,2022-03-25,0.04,5,6441.0,6415.0,False,671,city,PI
Santo Antônio dos Milagres,2209450,266,12280.70175,2022-03-25,0.0113,3,2166.0,2161.0,False,651,city,PI
Santo Inácio do Piauí,2209500,283,7441.49356,2022-03-25,0.0212,6,3803.0,3798.0,False,646,city,PI
São Braz do Piauí,2209559,106,2381.48731,2022-03-25,0.1226,13,4451.0,4448.0,False,624,city,PI
São Félix do Piauí,2209609,426,14529.33151,2022-03-25,0.0094,4,2932.0,2942.0,False,631,city,PI
São Francisco de Assis do Piauí,2209658,142,2457.17252,2022-03-25,0.0211,3,5779.0,5755.0,False,667,city,PI
São Francisco do Piauí,2209708,229,3566.97819,2022-03-25,0.0437,10,6420.0,6423.0,False,695,city,PI
São Gonçalo do Gurguéia,2209757,231,7556.42787,2022-03-25,0.0216,5,3057.0,3041.0,False,641,city,PI
São Gonçalo do Piauí,2209807,469,9324.05567,2022-03-25,0.0171,8,5030.0,5015.0,False,689,city,PI
São João da Canabrava,2209856,622,13480.71088,2022-03-25,0.0129,8,4614.0,4608.0,False,676,city,PI
São João da Fronteira,2209872,267,4403.0343,2022-03-25,0.0262,7,6064.0,6042.0,False,683,city,PI
São João da Serra,2209906,431,7040.18295,2022-03-25,0.0394,17,6122.0,6139.0,False,656,city,PI
São João da Varjota,2209955,362,7466.9967,2022-03-25,0.0055,2,4848.0,4840.0,False,633,city,PI
São João do Arraial,2209971,930,11570.0423,2022-03-25,0.0108,10,8038.0,7989.0,False,661,city,PI
São João do Piauí,2210003,3644,17636.24044,2022-03-25,0.0104,38,20662.0,20601.0,False,690,city,PI
São José do Divino,2210052,356,6649.23422,2022-03-25,0.0365,13,5354.0,5346.0,False,725,city,PI
São José do Peixe,2210102,306,8179.63111,2022-03-25,0.0098,3,3741.0,3745.0,False,684,city,PI
São José do Piauí,2210201,250,3731.34328,2022-03-25,0.036,9,6700.0,6705.0,False,704,city,PI
São Julião,2210300,362,5681.99655,2022-03-25,0.0387,14,6371.0,6363.0,False,691,city,PI
São Lourenço do Piauí,2210359,69,1507.53769,2022-03-25,0.0435,3,4577.0,4573.0,False,692,city,PI
São Luis do Piauí,2210375,189,7142.85714,2022-03-25,0.0053,1,2646.0,2644.0,False,684,city,PI
São Miguel da Baixa Grande,2210383,196,7986.96007,2022-03-25,0.0153,3,2454.0,2452.0,False,689,city,PI
São Miguel do Fidalgo,2210391,216,7109.94075,2022-03-25,0.0185,4,3038.0,3039.0,False,630,city,PI
São Miguel do Tapuio,2210409,666,3775.72425,2022-03-25,0.021,14,17639.0,17662.0,False,663,city,PI
São Pedro do Piauí,2210508,2077,14500.13963,2022-03-25,0.0154,32,14324.0,14291.0,False,693,city,PI
São Raimundo Nonato,2210607,4345,12458.06692,2022-03-25,0.0157,68,34877.0,34710.0,False,707,city,PI
